Artist,Title,Album,Date,Artwork,Genre,Link,Comment
Mobb Deep,Shook ones pt.2,The infamous,1995,https://zupimages.net/up/21/37/8d9c.jpeg,hiphop,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/226975208&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,Retour sur un des meilleurs morceaux rap de toute l’histoire – qui fête aujourd’hui ses 25ans.
La Rumeur,Du déclin au défi,Premier volet: le poison d'avril,1997,https://zupimages.net/up/21/37/jrm5.jpg,fr,https://www.youtube.com/embed/4HWvj2bY-7M,"Il y a 23ans, La Rumeur sortait leur tout premier EP ""Le poison d’avril"" – premier volet également d’une trilogie dont chacun des épisodes met en avant un des rappeurs du groupe. Celui ci était consacré à Kéroué et résonne ici toujours aussi fort ! Coup de coeur du jour, assurément."
Jakobin & Domino,Roshambo,Roshambo EP,2016,https://zupimages.net/up/21/37/sth0.jpeg,electro,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/873281617&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"Coup de coeur du moment signé Jakobin & Domino, duo Autrichien – en boucle depuis des mois !"
Romare,Hey now (when I give you all my lovin'),Love songs: part one,2013,https://zupimages.net/up/21/37/crt1.jpeg,soul,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/269793722&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,Trompette de l’amour 🎺🎺🎺
Stand High Patrol,Dinner time,The shift,2017,https://zupimages.net/up/21/37/1tpr.jpeg,hiphop,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/744075190&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"Stand High Patrol est un soundsystem dub français fondé en 2001. Il était à l’origine composé de trois membres : Rootystep, Mac Gyver et Pupajim mais depuis la sortie de leur second album en 2015 les trois membres d’origine ont été rejoints par un trompettiste dénommé Merry."
IAM,"Mon encre, si amer",Arts martiens,2013,https://zupimages.net/up/21/37/am0m.jpeg,fr,https://www.youtube.com/embed/RP4cuak5OA0,Beaucoup d'amour pour ce titre extrait du 6ème album d'IAM.
Ntombi Ndaba,Tomorrow,Tomorrow,2018,https://zupimages.net/up/21/37/s5ap.jpeg,disco,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/379157525&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"Lumière sur Ntombi Ndaba, véritable icône dans son pays (cf. Afrique du Sud) mais encore trop peu connue par ici. Petite balle extrait de son dernier album/best of."
Dumbo Gets Mad,Makes you fly,Nice Guys compilation vol.1,2019,https://zupimages.net/up/21/37/j7zd.jpeg,electro,https://bandcamp.com/EmbeddedPlayer/album=97297713/size=large/bgcol=ffffff/linkcol=0687f5/tracklist=false/artwork=small/track=1260300363/transparent=true,Extrait de la première compilation du label Bordelais Nice Guys.
Dre'es,Warm (feat. Mia),Warm,2017,https://zupimages.net/up/21/37/t6mf.jpg,hiphop,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/347692507&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,Douceur du jour.
Nina Kraviz,Ghetto Kraviz (Marvin & Guy mix),Ghetto Kraviz,2013,https://zupimages.net/up/21/37/1k42.jpeg,electro,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/80227013&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"Remix (non officiel) du titre ""Ghetto Kraviz"" de Nina Kraviz signés Marvin & Guy."
Rhi,Plain Jane,The pale queen,2019,https://zupimages.net/up/21/37/9i63.jpeg,soul,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/743840194&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"Si jamais t’es passé(e) à coté, voici Rhi, une jeune Canadienne résidant actuellement à Londres. Elle chante, elle écrit, elle compose.. et a également très bon goût quant au choix de ses covers !"
Coryayo,1995,1995,2014,https://zupimages.net/up/21/37/ll3h.jpeg,hiphop,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/128882284&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true,"CoryaYo, made in Chicago – sur un délicieux sample de Slum Village & Kanye !"